sample_id,actual_price,predicted_price,model_name,target_used,residual,absolute_error,squared_error,percentage_error,absolute_percentage_error,prediction_ratio,price_segment
5008,38.0,4.1539716965401015,LightGBM,target_price,33.846028303459896,33.846028303459896,1145.5536319186083,0.8906849553307687,0.8906849553307687,0.1093150446429154,Premium
6456,79.99,46.36538348168566,LightGBM,target_price,33.62461651831433,33.62461651831433,1130.614836003697,0.4203602515051128,0.4203602515051128,0.5796397484823855,Premium
5983,42.7,74.5314093548342,LightGBM,target_price,-31.831409354834197,31.831409354834197,1013.2386215150258,-0.7454662612198765,0.7454662612198765,1.745466261196457,Premium
6753,76.79,44.99227094380838,LightGBM,target_price,31.797729056191628,31.797729056191628,1011.0955731309732,0.4140868479720997,0.4140868479720997,0.5859131520148777,Premium
5735,99.69,69.70626894691877,LightGBM,target_price,29.98373105308123,29.98373105308123,899.0241278635076,0.3007696965872249,0.3007696965872249,0.6992303034027438,Premium
6072,8.39,38.21203259477492,LightGBM,target_price,-29.82203259477492,29.82203259477492,889.3536280838176,-3.5544734912062506,3.5544734912062506,4.554473491087061,Mid
5683,80.49,52.42392762963756,LightGBM,target_price,28.066072370362438,28.066072370362438,787.7044182984216,0.348690177289275,0.348690177289275,0.6513098226983011,Premium
6799,56.99,29.92030141482238,LightGBM,target_price,27.069698585177623,27.069698585177623,732.7685814923674,0.4749903243499321,0.4749903243499321,0.525009675632521,Premium
6067,102.0,74.93329837808223,LightGBM,target_price,27.066701621917773,27.066701621917773,732.6063366899261,0.2653598198201217,0.2653598198201217,0.7346401801700744,Premium
3296,51.0,25.101890570865287,LightGBM,target_price,25.898109429134717,25.898109429134717,670.7120720034363,0.5078060672279786,0.5078060672279786,0.4921939327524136,Premium
7187,50.999,76.83301829860555,LightGBM,target_price,-25.83401829860555,25.83401829860555,667.3965014526864,-0.5065593109296063,0.5065593109296063,1.5065593109099982,Premium
5724,62.05,36.37853708025322,LightGBM,target_price,25.67146291974678,25.67146291974678,659.0240084399338,0.4137222065968261,0.4137222065968261,0.5862777933870579,Premium
2572,56.99,32.43024760243082,LightGBM,target_price,24.559752397569184,24.559752397569184,603.1814378299053,0.4309484540645418,0.4309484540645418,0.5690515459179113,Premium
5958,89.09,112.4313605415395,LightGBM,target_price,-23.3413605415395,23.3413605415395,544.8191119301372,-0.2619975366626726,0.2619975366626726,1.261997536651448,Premium
5684,20.59,42.54000349552346,LightGBM,target_price,-21.950003495523458,21.950003495523458,481.802653453492,-1.066051651017844,1.066051651017844,2.066051650969277,Premium
7182,57.28,35.33392875279804,LightGBM,target_price,21.946071247201964,21.946071247201964,481.63004318726473,0.3831367186944627,0.3831367186944627,0.6168632812880792,Premium
6575,38.0,17.05244972250717,LightGBM,target_price,20.94755027749283,20.94755027749283,438.79986262809,0.55125132307741,0.55125132307741,0.4487486768962743,Premium
5889,51.0,30.06610291407477,LightGBM,target_price,20.93389708592523,20.93389708592523,438.2280472041089,0.4104685703042111,0.4104685703042111,0.5895314296761811,Premium
6498,18.006229,38.22870052500897,LightGBM,target_price,-20.222471525008967,20.222471525008967,408.9483545797985,-1.1230819914533956,1.1230819914533956,2.12308199139786,High
6513,39.99,19.87913646085078,LightGBM,target_price,20.11086353914922,20.11086353914922,404.4468322902815,0.5028973127943567,0.5028973127943567,0.4971026871806371,Premium
5654,44.99,64.89513639496906,LightGBM,target_price,-19.905136394969052,19.905136394969052,396.2144549023217,-0.4424346831412896,0.4424346831412896,1.4424346831190626,Premium
6145,42.45,61.874991610420096,LightGBM,target_price,-19.424991610420093,19.424991610420093,377.330299064891,-0.4575969754997054,0.4575969754997054,1.4575969754761484,Premium
2770,29.999999,11.296015584519376,LightGBM,target_price,18.70398341548062,18.70398341548062,349.83899560657414,0.6234661346107764,0.6234661346107764,0.3765338653558902,Premium
5978,119.9,101.90827618370128,LightGBM,target_price,17.99172381629873,17.99172381629873,323.70212588197097,0.15005607853335,0.15005607853335,0.8499439214583097,Premium
